"filename", "language", "C#", "JSON", "Properties", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.VSCodeCounter\2025-10-15_07-44-46\details.md", "Markdown", 0, 0, 0, 0, 238, 0, 6, 244
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.VSCodeCounter\2025-10-15_07-44-46\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 6, 15
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.VSCodeCounter\2025-10-15_07-44-46\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 7, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.VSCodeCounter\2025-10-15_07-44-46\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.VSCodeCounter\2025-10-15_07-44-46\results.md", "Markdown", 0, 0, 0, 0, 101, 0, 7, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.vs\UTrade Backend\v17\DocumentLayout.backup.json", "JSON", 0, 137, 0, 0, 0, 0, 0, 137
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\.vs\UTrade Backend\v17\DocumentLayout.json", "JSON", 0, 137, 0, 0, 0, 0, 0, 137
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\API\Program.cs", "C#", 9, 0, 0, 0, 0, 29, 13, 51
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\AuthTest.csproj", "XML", 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\CategoriaPublicacionApiTests.cs", "C#", 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\MSTestSettings.cs", "C#", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\API.deps.json", "JSON", 0, 1248, 0, 0, 0, 0, 0, 1248
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\bin\Debug\net8.0\API.runtimeconfig.json", "JSON", 0, 20, 0, 0, 0, 0, 0, 20
