"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\.postcssrc.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 14, 0, 14, 28
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\angular.json", "JSON", 115, 0, 0, 0, 0, 0, 0, 0, 2, 117
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\package-lock.json", "JSON", 15329, 0, 0, 0, 0, 0, 0, 0, 1, 15330
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\package.json", "JSON", 50, 0, 0, 0, 0, 0, 0, 0, 1, 51
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\.postcssrc.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\auth.service.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\busqueda.service.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\categoria-publicacion.service.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\chat-manager.service.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 12, 103
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\chat.service.ts", "TypeScript", 0, 0, 0, 44, 0, 0, 0, 0, 8, 52
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\conexion-backend.service.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\estadoReporte.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\estados.service.ts", "TypeScript", 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\favoritos.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 6, 48
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\filtros.service.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 0, 0, 20, 90
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\fotos-publicaciones.service.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 11, 47
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\google-maps.service.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 17, 101
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\likes.service.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\marcadores.service.ts", "TypeScript", 0, 0, 0, 182, 0, 0, 0, 0, 29, 211
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\mensaje-accion.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\mensaje-error.service.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\mensajes.service.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 8, 51
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\motivoReporte.service.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 8, 39
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\notificaciones.service.ts", "TypeScript", 0, 0, 0, 116, 0, 0, 0, 7, 19, 142
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\perfil.service.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 10, 97
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\persona.service.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 8, 36
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\producto.service.ts", "TypeScript", 0, 0, 0, 74, 0, 0, 0, 0, 17, 91
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\publicacion.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\registro.service.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 8, 60
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\reporte.service.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 8, 34
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\resena.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\Services\resenas-manager.service.ts", "TypeScript", 0, 0, 0, 174, 0, 0, 0, 0, 21, 195
